id;name;geoid;geoname;value;datetime;Precio_energia_excedentaria
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;209;2023-01-03T22:00:00+01:00;131.41
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;191.7;2023-01-03T23:00:00+01:00;114.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;182.6;2023-01-04T00:00:00+01:00;116.17
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;161.81;2023-01-04T01:00:00+01:00;98.35
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;154.17;2023-01-04T02:00:00+01:00;89.1
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;147.81;2023-01-04T03:00:00+01:00;83.46
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;142.74;2023-01-04T04:00:00+01:00;79.49
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;149.93;2023-01-04T05:00:00+01:00;86.38
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;168.09;2023-01-04T06:00:00+01:00;106.9
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;157.93;2023-01-04T07:00:00+01:00;103.9
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;213.25;2023-01-04T08:00:00+01:00;133.2
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;205.25;2023-01-04T09:00:00+01:00;128.34
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;239.74;2023-01-04T10:00:00+01:00;119.73
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;211.22;2023-01-04T11:00:00+01:00;96.03
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;221.63;2023-01-04T12:00:00+01:00;104.06
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;222.67;2023-01-04T13:00:00+01:00;104.92
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;176.59;2023-01-04T14:00:00+01:00;104.04
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;175.72;2023-01-04T15:00:00+01:00;102.86
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;182.43;2023-01-04T16:00:00+01:00;106.85
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;207.48;2023-01-04T17:00:00+01:00;128.74
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;300.19;2023-01-04T18:00:00+01:00;166.55
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;290.87;2023-01-04T19:00:00+01:00;159.86
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;278.02;2023-01-04T20:00:00+01:00;150.72
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;264.62;2023-01-04T21:00:00+01:00;139.83
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;203.72;2023-01-04T22:00:00+01:00;125.84
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;181.23;2023-01-04T23:00:00+01:00;104.01
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;147.83;2023-01-05T00:00:00+01:00;94.62
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;134.53;2023-01-05T01:00:00+01:00;78.83
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;125.31;2023-01-05T02:00:00+01:00;68.59
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;120.36;2023-01-05T03:00:00+01:00;64
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;118.39;2023-01-05T04:00:00+01:00;61.58
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;123.99;2023-01-05T05:00:00+01:00;65.71
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;151.45;2023-01-05T06:00:00+01:00;94.31
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;159.47;2023-01-05T07:00:00+01:00;107.46
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;214.61;2023-01-05T08:00:00+01:00;134.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;199.08;2023-01-05T09:00:00+01:00;122.53
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;221.46;2023-01-05T10:00:00+01:00;104.18
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;231.71;2023-01-05T11:00:00+01:00;112.79
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;216.3;2023-01-05T12:00:00+01:00;100.08
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;210.55;2023-01-05T13:00:00+01:00;95.7
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;161.03;2023-01-05T14:00:00+01:00;93.16
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;159.01;2023-01-05T15:00:00+01:00;90.42
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;164.28;2023-01-05T16:00:00+01:00;93.69
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;195.82;2023-01-05T17:00:00+01:00;118.12
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;296.42;2023-01-05T18:00:00+01:00;162.46
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;314.57;2023-01-05T19:00:00+01:00;177.24
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;298.02;2023-01-05T20:00:00+01:00;163.25
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;284.26;2023-01-05T21:00:00+01:00;151.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;217.77;2023-01-05T22:00:00+01:00;134.1
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;199.3;2023-01-05T23:00:00+01:00;117.85
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;159.69;2023-01-06T00:00:00+01:00;105.6
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;155.71;2023-01-06T01:00:00+01:00;99.45
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;154.41;2023-01-06T02:00:00+01:00;95.99
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;139.37;2023-01-06T03:00:00+01:00;80.63
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;134.02;2023-01-06T04:00:00+01:00;75.05
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;140.02;2023-01-06T05:00:00+01:00;80.3
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;154.05;2023-01-06T06:00:00+01:00;96.71
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;163.15;2023-01-06T07:00:00+01:00;106.21
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;180.5;2023-01-06T08:00:00+01:00;120.56
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;174.9;2023-01-06T09:00:00+01:00;123.04
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;166.47;2023-01-06T10:00:00+01:00;118.78
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;152.3;2023-01-06T11:00:00+01:00;109
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;144.54;2023-01-06T12:00:00+01:00;102.44
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;132.08;2023-01-06T13:00:00+01:00;89.49
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;119.6;2023-01-06T14:00:00+01:00;79.65
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;108.74;2023-01-06T15:00:00+01:00;69.53
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;123.79;2023-01-06T16:00:00+01:00;80.31
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;166.41;2023-01-06T17:00:00+01:00;120.47
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;173.49;2023-01-06T18:00:00+01:00;127.74
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;186.17;2023-01-06T19:00:00+01:00;136.99
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;186.11;2023-01-06T20:00:00+01:00;136.99
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;178.45;2023-01-06T21:00:00+01:00;131.26
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;139.37;2023-01-06T22:00:00+01:00;99.43
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;129.35;2023-01-06T23:00:00+01:00;91.02
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;98.99;2023-01-07T00:00:00+01:00;52.77
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;86.97;2023-01-07T01:00:00+01:00;39.66
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;74.28;2023-01-07T02:00:00+01:00;24.74
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;77.66;2023-01-07T03:00:00+01:00;24.06
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;73.14;2023-01-07T04:00:00+01:00;19.25
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;67.68;2023-01-07T05:00:00+01:00;14.17
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;65.21;2023-01-07T06:00:00+01:00;14.17
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;61.98;2023-01-07T07:00:00+01:00;13.35
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;64.98;2023-01-07T08:00:00+01:00;17.54
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;62.02;2023-01-07T09:00:00+01:00;19.46
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;50.66;2023-01-07T10:00:00+01:00;17.54
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;43.25;2023-01-07T11:00:00+01:00;13.38
