CUPS;FECHA-HORA;INV / VER;CONSUMO Wh;GENERACION Wh;REACT Q1;REACT Q2;REACT Q3;REACT Q4;METODO OBT.;FIRMEZA;NUM FACTURA
ES002100000100007PD;04/01/2023 23:00;0;329;0;0;0;0;172;1;1;3.23E+15
ES002100000100007PD;05/01/2023 0:00;0;376;0;1;0;0;173;1;1;3.23E+15
ES002100000100007PD;05/01/2023 1:00;0;388;0;0;0;0;178;1;1;3.23E+15
ES002100000100007PD;05/01/2023 2:00;0;273;0;0;0;0;182;1;1;3.23E+15
ES002100000100007PD;05/01/2023 3:00;0;222;0;0;0;0;168;1;1;3.23E+15
ES002100000100007PD;05/01/2023 4:00;0;176;0;1;0;0;160;1;1;3.23E+15
ES002100000100007PD;05/01/2023 5:00;0;174;0;0;0;0;153;1;1;3.23E+15
ES002100000100007PD;05/01/2023 6:00;0;222;0;0;0;0;151;1;1;3.23E+15
ES002100000100007PD;05/01/2023 7:00;0;177;0;0;0;0;157;1;1;3.23E+15
ES002100000100007PD;05/01/2023 8:00;0;161;0;0;0;0;163;1;1;3.23E+15
ES002100000100007PD;05/01/2023 9:00;0;487;0;1;0;0;173;1;1;3.23E+15
ES002100000100007PD;05/01/2023 10:00;0;708;0;0;0;0;193;1;1;3.23E+15
ES002100000100007PD;05/01/2023 11:00;0;574;0;8;0;0;148;1;1;3.23E+15
ES002100000100007PD;05/01/2023 12:00;0;364;0;12;0;0;109;1;1;3.23E+15
ES002100000100007PD;05/01/2023 13:00;0;874;0;1;0;0;188;1;1;3.23E+15
ES002100000100007PD;05/01/2023 14:00;0;1714;0;0;0;0;215;1;1;3.23E+15
ES002100000100007PD;05/01/2023 15:00;0;1401;0;15;0;0;108;1;1;3.23E+15
ES002100000100007PD;05/01/2023 16:00;0;451;0;0;0;0;149;1;1;3.23E+15
ES002100000100007PD;05/01/2023 17:00;0;619;0;7;0;0;128;1;1;3.23E+15
ES002100000100007PD;05/01/2023 18:00;0;382;0;1;0;0;149;1;1;3.23E+15
ES002100000100007PD;05/01/2023 19:00;0;445;0;0;0;0;206;1;1;3.23E+15
ES002100000100007PD;05/01/2023 20:00;0;1305;0;0;0;0;166;1;1;3.23E+15
ES002100000100007PD;05/01/2023 21:00;0;1288;0;0;0;0;141;1;1;3.23E+15
ES002100000100007PD;05/01/2023 22:00;0;495;0;1;0;0;165;1;1;3.23E+15
ES002100000100007PD;05/01/2023 23:00;0;484;0;0;0;0;189;1;1;3.23E+15
ES002100000100007PD;06/01/2023 0:00;0;1307;0;0;0;0;174;1;1;3.23E+15
ES002100000100007PD;06/01/2023 1:00;0;913;0;0;0;0;164;1;1;3.23E+15
ES002100000100007PD;06/01/2023 2:00;0;279;0;0;0;0;189;1;1;3.23E+15
ES002100000100007PD;06/01/2023 3:00;0;206;0;2;0;0;175;1;1;3.23E+15
ES002100000100007PD;06/01/2023 4:00;0;233;0;0;0;0;179;1;1;3.23E+15
ES002100000100007PD;06/01/2023 5:00;0;206;0;1;0;0;168;1;1;3.23E+15
ES002100000100007PD;06/01/2023 6:00;0;252;0;0;0;0;164;1;1;3.23E+15
ES002100000100007PD;06/01/2023 7:00;0;193;0;0;0;0;154;1;1;3.23E+15
ES002100000100007PD;06/01/2023 8:00;0;208;0;0;0;0;151;1;1;3.23E+15
ES002100000100007PD;06/01/2023 9:00;0;165;0;1;0;0;165;1;1;3.23E+15
ES002100000100007PD;06/01/2023 10:00;0;621;0;0;0;0;169;1;1;3.23E+15
ES002100000100007PD;06/01/2023 11:00;0;482;0;0;0;0;139;1;1;3.23E+15
ES002100000100007PD;06/01/2023 12:00;0;433;0;1;0;0;147;1;1;3.23E+15
ES002100000100007PD;06/01/2023 13:00;0;425;0;0;0;0;159;1;1;3.23E+15
ES002100000100007PD;06/01/2023 14:00;0;915;0;0;0;0;113;1;1;3.23E+15
ES002100000100007PD;06/01/2023 15:00;0;1136;0;0;0;0;131;1;1;3.23E+15
ES002100000100007PD;06/01/2023 16:00;0;632;0;1;0;0;168;1;1;3.23E+15
ES002100000100007PD;06/01/2023 17:00;0;1539;0;0;0;0;145;1;1;3.23E+15
ES002100000100007PD;06/01/2023 18:00;0;1052;0;0;0;0;129;1;1;3.23E+15
ES002100000100007PD;06/01/2023 19:00;0;506;0;0;0;0;162;1;1;3.23E+15
ES002100000100007PD;06/01/2023 20:00;0;465;0;0;0;0;206;1;1;3.23E+15
ES002100000100007PD;06/01/2023 21:00;0;456;0;1;0;0;214;1;1;3.23E+15
ES002100000100007PD;06/01/2023 22:00;0;828;0;0;0;0;230;1;1;3.23E+15
ES002100000100007PD;06/01/2023 23:00;0;447;0;0;0;0;159;1;1;3.23E+15
ES002100000100007PD;07/01/2023 0:00;0;261;0;1;0;0;180;1;1;3.23E+15
ES002100000100007PD;07/01/2023 1:00;0;249;0;0;0;0;173;1;1;3.23E+15
ES002100000100007PD;07/01/2023 2:00;0;184;0;0;0;0;150;1;1;3.23E+15
ES002100000100007PD;07/01/2023 3:00;0;156;0;0;0;0;154;1;1;3.23E+15
ES002100000100007PD;07/01/2023 4:00;0;136;0;0;0;0;153;1;1;3.23E+15
ES002100000100007PD;07/01/2023 5:00;0;143;0;1;0;0;153;1;1;3.23E+15
ES002100000100007PD;07/01/2023 6:00;0;151;0;0;0;0;153;1;1;3.23E+15
ES002100000100007PD;07/01/2023 7:00;0;152;0;0;0;0;150;1;1;3.23E+15
ES002100000100007PD;07/01/2023 8:00;0;165;0;0;0;0;136;1;1;3.23E+15
ES002100000100007PD;07/01/2023 9:00;0;357;0;1;0;0;127;1;1;3.23E+15
ES002100000100007PD;07/01/2023 10:00;0;235;0;0;0;0;147;1;1;3.23E+15
